heuristica,n,m,replicacao,tempo,iteracoes,valor,parametro
blnm_monotona_randomizada,30,20,10,0.0661,1008,99,0.3
blnm_monotona_randomizada,30,20,10,0.0581,1025,99,0.4
blnm_monotona_randomizada,30,20,10,0.0510,1060,99,0.5
blnm_monotona_randomizada,30,20,10,0.0428,1079,99,0.6
blnm_monotona_randomizada,30,20,10,0.0308,1142,99,0.7
blnm_monotona_randomizada,30,20,10,0.0206,1146,102,0.8
blnm_monotona_randomizada,30,20,10,0.0123,1149,99,0.9
blnm_monotona_randomizada,40,20,1,0.1887,1754,109,0.1
blnm_monotona_randomizada,40,20,1,0.1007,1070,115,0.2
blnm_monotona_randomizada,40,20,1,0.3438,4165,110,0.3
blnm_monotona_randomizada,40,20,1,0.1062,1513,115,0.4
blnm_monotona_randomizada,40,20,1,0.1082,1909,113,0.5
blnm_monotona_randomizada,40,20,1,0.0590,1324,127,0.6
blnm_monotona_randomizada,40,20,1,0.0721,2053,128,0.7
blnm_monotona_randomizada,40,20,1,0.0438,1828,135,0.8
blnm_monotona_randomizada,40,20,1,0.0357,2721,138,0.9
blnm_monotona_randomizada,40,20,2,0.1100,1036,108,0.1
blnm_monotona_randomizada,40,20,2,0.1928,2094,109,0.2
blnm_monotona_randomizada,40,20,2,0.1226,1483,109,0.3
blnm_monotona_randomizada,40,20,2,0.1620,2300,111,0.4
blnm_monotona_randomizada,40,20,2,0.1370,2363,108,0.5
blnm_monotona_randomizada,40,20,2,0.0745,1605,116,0.6
blnm_monotona_randomizada,40,20,2,0.0590,1556,120,0.7
blnm_monotona_randomizada,40,20,2,0.0308,1101,137,0.8
blnm_monotona_randomizada,40,20,2,0.0340,2273,138,0.9
blnm_monotona_randomizada,40,20,3,0.1505,1382,144,0.1
blnm_monotona_randomizada,40,20,3,0.1427,1447,144,0.2
blnm_monotona_randomizada,40,20,3,0.1104,1306,144,0.3
blnm_monotona_randomizada,40,20,3,0.1560,2078,146,0.4
blnm_monotona_randomizada,40,20,3,0.1079,1749,144,0.5
blnm_monotona_randomizada,40,20,3,0.0954,1932,152,0.6
blnm_monotona_randomizada,40,20,3,0.0974,2606,154,0.7
blnm_monotona_randomizada,40,20,3,0.0326,1311,167,0.8
blnm_monotona_randomizada,40,20,3,0.0132,1124,180,0.9
blnm_monotona_randomizada,40,20,4,0.1358,1295,124,0.1
blnm_monotona_randomizada,40,20,4,0.2632,2737,124,0.2
blnm_monotona_randomizada,40,20,4,0.1655,2068,124,0.3
blnm_monotona_randomizada,40,20,4,0.1327,1826,131,0.4
blnm_monotona_randomizada,40,20,4,0.1237,1944,125,0.5
blnm_monotona_randomizada,40,20,4,0.0738,1536,141,0.6
blnm_monotona_randomizada,40,20,4,0.0938,2711,137,0.7
blnm_monotona_randomizada,40,20,4,0.0290,1137,152,0.8
blnm_monotona_randomizada,40,20,4,0.0149,1037,177,0.9
blnm_monotona_randomizada,40,20,5,0.2085,1970,99,0.1
blnm_monotona_randomizada,40,20,5,0.1280,1345,99,0.2
blnm_monotona_randomizada,40,20,5,0.1582,1906,99,0.3
blnm_monotona_randomizada,40,20,5,0.1335,1824,99,0.4
blnm_monotona_randomizada,40,20,5,0.1399,2363,102,0.5
blnm_monotona_randomizada,40,20,5,0.0602,1244,109,0.6
blnm_monotona_randomizada,40,20,5,0.0386,1079,106,0.7
blnm_monotona_randomizada,40,20,5,0.0726,2893,123,0.8
blnm_monotona_randomizada,40,20,5,0.0180,1426,126,0.9
blnm_monotona_randomizada,40,20,6,0.2008,1812,100,0.1
blnm_monotona_randomizada,40,20,6,0.1685,1747,100,0.2
blnm_monotona_randomizada,40,20,6,0.1842,2197,100,0.3
blnm_monotona_randomizada,40,20,6,0.1166,1485,102,0.4
blnm_monotona_randomizada,40,20,6,0.1037,1625,110,0.5
blnm_monotona_randomizada,40,20,6,0.1145,2141,103,0.6
blnm_monotona_randomizada,40,20,6,0.0838,2244,116,0.7
blnm_monotona_randomizada,40,20,6,0.1265,4839,117,0.8
blnm_monotona_randomizada,40,20,6,0.0160,1232,138,0.9
blnm_monotona_randomizada,40,20,7,0.1578,1434,132,0.1
blnm_monotona_randomizada,40,20,7,0.1255,1291,123,0.2
blnm_monotona_randomizada,40,20,7,0.1787,2177,126,0.3
blnm_monotona_randomizada,40,20,7,0.1055,1415,128,0.4
blnm_monotona_randomizada,40,20,7,0.0972,1611,128,0.5
blnm_monotona_randomizada,40,20,7,0.0892,1823,135,0.6
blnm_monotona_randomizada,40,20,7,0.0543,1633,129,0.7
blnm_monotona_randomizada,40,20,7,0.0415,1708,160,0.8
blnm_monotona_randomizada,40,20,7,0.0296,2589,160,0.9
blnm_monotona_randomizada,40,20,8,0.2478,2293,107,0.1
blnm_monotona_randomizada,40,20,8,0.1943,2098,105,0.2
blnm_monotona_randomizada,40,20,8,0.1685,2123,109,0.3
blnm_monotona_randomizada,40,20,8,0.0778,1106,111,0.4
blnm_monotona_randomizada,40,20,8,0.0799,1315,111,0.5
blnm_monotona_randomizada,40,20,8,0.0757,1563,112,0.6
blnm_monotona_randomizada,40,20,8,0.0724,2109,116,0.7
blnm_monotona_randomizada,40,20,8,0.0509,1971,126,0.8
blnm_monotona_randomizada,40,20,8,0.0144,1012,147,0.9
blnm_monotona_randomizada,40,20,9,0.2082,1972,113,0.1
blnm_monotona_randomizada,40,20,9,0.1166,1265,116,0.2
blnm_monotona_randomizada,40,20,9,0.2183,2687,113,0.3
blnm_monotona_randomizada,40,20,9,0.0865,1242,113,0.4
blnm_monotona_randomizada,40,20,9,0.0932,1553,117,0.5
blnm_monotona_randomizada,40,20,9,0.0898,1940,123,0.6
blnm_monotona_randomizada,40,20,9,0.0493,1339,132,0.7
blnm_monotona_randomizada,40,20,9,0.0602,2592,141,0.8
blnm_monotona_randomizada,40,20,9,0.0305,2335,155,0.9
blnm_monotona_randomizada,40,20,10,0.2380,2264,119,0.1
blnm_monotona_randomizada,40,20,10,0.2457,2415,118,0.2
blnm_monotona_randomizada,40,20,10,0.1128,1308,119,0.3
blnm_monotona_randomizada,40,20,10,0.1115,1498,121,0.4
blnm_monotona_randomizada,40,20,10,0.1146,1873,121,0.5
blnm_monotona_randomizada,40,20,10,0.0939,1928,136,0.6
blnm_monotona_randomizada,40,20,10,0.0962,2632,129,0.7
blnm_monotona_randomizada,40,20,10,0.0384,1517,142,0.8
blnm_monotona_randomizada,40,20,10,0.0232,1648,153,0.9
blnm_monotona_randomizada,75,50,1,1.0565,2119,100,0.1
blnm_monotona_randomizada,75,50,1,0.5017,1068,130,0.2
blnm_monotona_randomizada,75,50,1,1.2271,3090,100,0.3
blnm_monotona_randomizada,75,50,1,0.7964,2289,100,0.4
blnm_monotona_randomizada,75,50,1,0.4841,1799,113,0.5
blnm_monotona_randomizada,75,50,1,0.3777,1673,122,0.6
blnm_monotona_randomizada,75,50,1,0.2544,1456,141,0.7
blnm_monotona_randomizada,75,50,1,0.2911,2622,138,0.8
blnm_monotona_randomizada,75,50,1,0.1144,2144,172,0.9
blnm_monotona_randomizada,75,50,2,0.5340,1070,133,0.1
blnm_monotona_randomizada,75,50,2,1.2086,2796,106,0.2
blnm_monotona_randomizada,75,50,2,0.6074,1604,98,0.3
blnm_monotona_randomizada,75,50,2,0.7058,2147,113,0.4
blnm_monotona_randomizada,75,50,2,0.4101,1407,108,0.5
blnm_monotona_randomizada,75,50,2,0.3246,1492,127,0.6
blnm_monotona_randomizada,75,50,2,0.3630,2292,140,0.7
blnm_monotona_randomizada,75,50,2,0.1298,1149,137,0.8
blnm_monotona_randomizada,75,50,2,0.0877,1540,162,0.9
blnm_monotona_randomizada,75,50,3,2.7995,4843,99,0.1
blnm_monotona_randomizada,75,50,3,1.9979,3684,99,0.2
blnm_monotona_randomizada,75,50,3,0.6090,1364,101,0.3
blnm_monotona_randomizada,75,50,3,0.4125,1088,117,0.4
